Trial_ID,Fish,Condition,Stim,Arrest,IBI,BoutDistance,BoutDistancemm,BoutDur,BoutStart,NumBout,fish
t7_3s_4minITI,1.0,opsin,1,61.0,,,,,,,
t7_3s_4minITI,1.0,opsin,2,160.65,,,,,,,
t7_3s_4minITI,1.0,opsin,3,121.12,,,,,,,
t7_3s_4minITI,1.0,opsin,4,119.68,,,,,,,
t7_3s_4minITI,2.0,opsin,1,59.02,,,,,,,
t7_3s_4minITI,2.0,opsin,2,47.59,,,,,,,
t7_3s_4minITI,2.0,opsin,3,34.78,,,,,,,
t7_3s_4minITI,2.0,opsin,4,34.07,,,,,,,
t7_3s_4minITI,3.0,opsin,1,16.0,,,,,,,
t7_3s_4minITI,3.0,opsin,2,77.66,,,,,,,
t7_3s_4minITI,3.0,opsin,3,108.84,,,,,,,
t7_3s_4minITI,3.0,opsin,4,122.36,,,,,,,
t7_3s_4minITI,4.0,opsin,1,108.78,,,,,,,
t7_3s_4minITI,4.0,opsin,2,113.49,,,,,,,
t7_3s_4minITI,4.0,opsin,3,99.04,,,,,,,
t7_3s_4minITI,4.0,opsin,4,80.72,,,,,,,
t7_3s_4minITI,6.0,opsin,1,96.23,,,,,,,
t7_3s_4minITI,6.0,opsin,2,92.87,,,,,,,
t7_3s_4minITI,6.0,opsin,3,14.69,,,,,,,
t7_3s_4minITI,6.0,opsin,4,81.92,,,,,,,
t7_3s_4minITI,8.0,opsin,1,210.45,,,,,,,
t7_3s_4minITI,9.0,opsin,1,39.2,,,,,,,
t7_3s_4minITI,9.0,opsin,2,40.59,,,,,,,
t7_3s_4minITI,9.0,opsin,3,34.83,,,,,,,
t7_3s_4minITI,9.0,opsin,4,106.75,,,,,,,
t7_3s_4minITI,10.0,opsin,1,33.49,,,,,,,
t7_3s_4minITI,10.0,opsin,2,159.41,,,,,,,
t7_3s_4minITI,10.0,opsin,3,27.67,,,,,,,
t7_3s_4minITI,10.0,opsin,4,14.79,,,,,,,
t7_3s_4minITI,11.0,opsin,1,85.4,,,,,,,
t7_3s_4minITI,11.0,opsin,2,41.7,,,,,,,
t7_3s_4minITI,11.0,opsin,3,109.6,,,,,,,
t7_3s_4minITI,11.0,opsin,4,238.58,,,,,,,
t7_3s_4minITI,12.0,opsin,1,243.03,,,,,,,
t7_3s_4minITI,12.0,opsin,2,41.01,,,,,,,
t7_3s_4minITI,12.0,opsin,3,38.86,,,,,,,
t7_3s_4minITI,12.0,opsin,4,97.31,,,,,,,
t7_3s_4minITI,13.0,opsin,1,83.68,,,,,,,
t7_3s_4minITI,13.0,opsin,2,116.71,,,,,,,
t7_3s_4minITI,13.0,opsin,3,85.55,,,,,,,
t7_3s_4minITI,13.0,opsin,4,41.52,,,,,,,
t7_3s_4minITI,14.0,opsin,1,200.31,,,,,,,
t7_3s_4minITI,14.0,opsin,2,57.52,,,,,,,
t7_3s_4minITI,14.0,opsin,3,102.96,,,,,,,
t7_3s_4minITI,14.0,opsin,4,173.59,,,,,,,
t7_3s_4minITI,15.0,opsin,1,175.34,,,,,,,
t7_3s_4minITI,15.0,opsin,2,186.48,,,,,,,
t7_3s_4minITI,15.0,opsin,3,159.23,,,,,,,
t7_3s_4minITI,15.0,opsin,4,161.45,,,,,,,
t7_3s_4minITI,16.0,non opsin,1,1.41,,,,,,,
t7_3s_4minITI,16.0,non opsin,2,0.31,,,,,,,
t7_3s_4minITI,17.0,non opsin,1,12.42,,,,,,,
t7_3s_4minITI,17.0,non opsin,2,3.94,,,,,,,
t7_3s_4minITI,17.0,non opsin,3,6.59,,,,,,,
t7_3s_4minITI,17.0,non opsin,4,0.16,,,,,,,
t7_3s_4minITI,18.0,non opsin,1,0.4,,,,,,,
t7_3s_4minITI,18.0,non opsin,2,4.21,,,,,,,
t7_3s_4minITI,18.0,non opsin,3,0.56,,,,,,,
t7_3s_4minITI,18.0,non opsin,4,12.47,,,,,,,
t7_3s_4minITI,19.0,non opsin,1,3.14,,,,,,,
t7_3s_4minITI,19.0,non opsin,2,0.23,,,,,,,
t7_3s_4minITI,19.0,non opsin,3,7.98,,,,,,,
t7_3s_4minITI,19.0,non opsin,4,89.46,,,,,,,
t7_3s_4minITI,20.0,non opsin,1,2.41,,,,,,,
t7_3s_4minITI,20.0,non opsin,2,17.03,,,,,,,
t7_3s_4minITI,20.0,non opsin,3,177.55,,,,,,,
t7_3s_4minITI,20.0,non opsin,4,20.88,,,,,,,
t7_3s_4minITI,21.0,non opsin,1,0.04,,,,,,,
t7_3s_4minITI,21.0,non opsin,2,0.44,,,,,,,
t7_3s_4minITI,21.0,non opsin,3,1.43,,,,,,,
t7_3s_4minITI,21.0,non opsin,4,1.65,,,,,,,
t7_3s_4minITI,22.0,non opsin,1,0.26,,,,,,,
t7_3s_4minITI,22.0,non opsin,2,0.33,,,,,,,
t7_3s_4minITI,22.0,non opsin,3,34.78,,,,,,,
t7_3s_4minITI,22.0,non opsin,4,1.03,,,,,,,
t7_3s_4minITI,23.0,non opsin,1,0.84,,,,,,,
t7_3s_4minITI,23.0,non opsin,2,0.44,,,,,,,
t7_3s_4minITI,23.0,non opsin,3,0.51,,,,,,,
t7_3s_4minITI,23.0,non opsin,4,1.29,,,,,,,
t7_3s_4minITI,24.0,non opsin,1,1.88,,,,,,,
t7_3s_4minITI,24.0,non opsin,2,0.23,,,,,,,
t7_3s_4minITI,24.0,non opsin,3,1.37,,,,,,,
t7_3s_4minITI,24.0,non opsin,4,5.36,,,,,,,
t7_3s_4minITI,25.0,non opsin,1,0.28,,,,,,,
t7_3s_4minITI,25.0,non opsin,2,0.23,,,,,,,
t7_3s_4minITI,25.0,non opsin,3,0.15,,,,,,,
t7_3s_4minITI,25.0,non opsin,4,1.81,,,,,,,
t7_3s_4minITI,27.0,non opsin,1,2.16,,,,,,,
t7_3s_4minITI,27.0,non opsin,2,0.49,,,,,,,
t7_3s_4minITI,27.0,non opsin,3,5.2,,,,,,,
t7_3s_4minITI,27.0,non opsin,4,17.51,,,,,,,
t7_3s_4minITI,29.0,non opsin,1,0.16,,,,,,,
t7_3s_4minITI,29.0,non opsin,2,2.22,,,,,,,
t7_3s_4minITI,29.0,non opsin,3,0.69,,,,,,,
t7_3s_4minITI,29.0,non opsin,4,2.35,,,,,,,
t7_3s_4minITI,30.0,non opsin,1,2.89,,,,,,,
t7_3s_4minITI,30.0,non opsin,2,7.47,,,,,,,
t7_3s_4minITI,30.0,non opsin,3,0.12,,,,,,,
t7_3s_4minITI,30.0,non opsin,4,0.77,,,,,,,
t7_3s_4minITI,31.0,non opsin,1,3.19,,,,,,,
t7_3s_4minITI,31.0,non opsin,2,1.73,,,,,,,
t7_3s_4minITI,31.0,non opsin,3,0.29,,,,,,,
t7_3s_4minITI,31.0,non opsin,4,3.37,,,,,,,
t8_6s_4minITI,,opsin,1,28.33,30.55,0.0,0.0,0.09,27133.0,27.0,0.0
t8_6s_4minITI,,opsin,2,25.44,28.11,0.0,0.0,0.02,51144.0,49.0,0.0
t8_6s_4minITI,,opsin,3,13.49,16.05,0.0,0.0,0.02,74249.0,76.0,0.0
t8_6s_4minITI,,opsin,4,9.09,11.69,0.0,0.0,0.12,98109.0,90.0,0.0
t8_6s_4minITI,,opsin,1,6.93,9.34,0.0,0.0,0.03,24993.0,235.0,1.0
t8_6s_4minITI,,opsin,2,50.91,53.44,0.0,0.0,0.26,53691.0,352.0,1.0
t8_6s_4minITI,,opsin,3,28.76,31.26,0.0,0.0,0.02,75776.0,479.0,1.0
t8_6s_4minITI,,opsin,4,8.84,11.04,0.0,0.0,0.05,98084.0,578.0,1.0
t8_6s_4minITI,,opsin,1,52.56,52.58,0.0,0.0,0.45,29556.0,199.0,2.0
t8_6s_4minITI,,opsin,2,34.32,35.08,0.0,0.0,0.02,52032.0,294.0,2.0
t8_6s_4minITI,,opsin,3,28.46,28.51,0.0,0.0,0.02,75746.0,366.0,2.0
t8_6s_4minITI,,opsin,4,8.83,9.24,0.0,0.0,0.07,98083.0,428.0,2.0
t8_6s_4minITI,,opsin,1,142.98,144.66,0.0,0.0,0.22,38598.0,227.0,3.0
t8_6s_4minITI,,opsin,2,87.34,89.96,0.0,0.0,0.17,57334.0,278.0,3.0
t8_6s_4minITI,,opsin,3,26.36,27.17,0.0,0.0,0.05,75536.0,312.0,3.0
t8_6s_4minITI,,opsin,4,0.17,0.85,0.0,0.0,0.02,97217.0,325.0,3.0
t8_6s_4minITI,,opsin,1,18.43,20.16,0.0,0.0,0.02,26143.0,265.0,4.0
t8_6s_4minITI,,opsin,2,70.78,71.72,0.0,0.0,0.23,55678.0,350.0,4.0
t8_6s_4minITI,,opsin,3,74.55,77.05,0.0,0.0,0.05,80355.0,404.0,4.0
t8_6s_4minITI,,opsin,4,1.02,1.92,0.0,0.0,0.05,97302.0,411.0,4.0
t8_6s_4minITI,,opsin,1,36.92,39.31,0.0,0.0,0.22,27992.0,168.0,5.0
t8_6s_4minITI,,opsin,2,17.06,17.27,0.0,0.0,0.11,50306.0,305.0,5.0
t8_6s_4minITI,,opsin,3,24.4,24.97,0.0,0.0,0.02,75340.0,425.0,5.0
t8_6s_4minITI,,opsin,4,8.84,11.18,0.0,0.0,0.05,98084.0,520.0,5.0
t8_6s_4minITI,,opsin,1,20.98,22.06,0.0,0.0,0.02,26398.0,244.0,6.0
t8_6s_4minITI,,opsin,2,23.9,26.2,0.0,0.0,0.04,50990.0,394.0,6.0
t8_6s_4minITI,,opsin,3,20.01,22.57,0.0,0.0,0.03,74901.0,494.0,6.0
t8_6s_4minITI,,opsin,4,8.84,11.27,0.0,0.0,0.04,98084.0,615.0,6.0
t8_6s_4minITI,,opsin,1,25.2,25.72,0.0,0.0,0.02,26820.0,130.0,7.0
t8_6s_4minITI,,opsin,2,22.35,24.78,0.0,0.0,0.08,50835.0,244.0,7.0
t8_6s_4minITI,,opsin,3,21.77,24.07,0.0,0.0,0.06,75077.0,384.0,7.0
t8_6s_4minITI,,opsin,4,9.1,11.54,0.0,0.0,0.06,98110.0,488.0,7.0
t8_6s_4minITI,,non opsin,1,0.93,0.9,0.0,0.0,0.21,24393.0,221.0,8.0
t8_6s_4minITI,,non opsin,2,1.28,1.43,0.0,0.0,0.16,48728.0,451.0,8.0
t8_6s_4minITI,,non opsin,3,0.57,0.98,0.0,0.0,0.25,72957.0,653.0,8.0
t8_6s_4minITI,,non opsin,4,0.01,0.32,0.0,0.0,0.21,97201.0,840.0,8.0
t8_6s_4minITI,,non opsin,1,0.08,0.25,0.0,0.0,0.16,24308.0,266.0,9.0
t8_6s_4minITI,,non opsin,2,0.16,0.13,0.0,0.0,0.55,48616.0,508.0,9.0
t8_6s_4minITI,,non opsin,3,0.08,0.35,0.0,0.0,0.17,72908.0,776.0,9.0
t8_6s_4minITI,,non opsin,4,0.29,0.47,0.0,0.0,0.18,97229.0,1017.0,9.0
t8_6s_4minITI,,non opsin,1,1.25,1.18,0.0,0.0,0.12,24425.0,234.0,10.0
t8_6s_4minITI,,non opsin,2,0.04,0.49,0.0,0.0,0.21,48604.0,493.0,10.0
t8_6s_4minITI,,non opsin,3,0.07,0.69,0.0,0.0,0.13,72907.0,736.0,10.0
t8_6s_4minITI,,non opsin,4,2.39,2.61,0.0,0.0,0.15,97439.0,951.0,10.0
t8_6s_4minITI,,non opsin,1,0.9,0.84,0.0,0.0,0.14,24390.0,217.0,11.0
t8_6s_4minITI,,non opsin,2,0.72,0.65,0.0,0.0,0.34,48672.0,471.0,11.0
t8_6s_4minITI,,non opsin,3,0.43,0.44,0.0,0.0,0.84,72943.0,713.0,11.0
t8_6s_4minITI,,non opsin,4,0.61,0.46,0.0,0.0,0.2,97261.0,928.0,11.0
t8_6s_4minITI,,non opsin,1,2.43,24.31,0.0,0.0,0.31,24543.0,76.0,12.0
t8_6s_4minITI,,non opsin,2,0.03,0.15,0.0,0.0,0.37,48603.0,272.0,12.0
t8_6s_4minITI,,non opsin,3,0.66,0.63,0.0,0.0,0.14,72966.0,589.0,12.0
t8_6s_4minITI,,non opsin,4,0.59,0.67,0.0,0.0,0.25,97259.0,902.0,12.0
t8_6s_4minITI,,non opsin,1,0.76,0.46,0.0,0.0,0.35,24376.0,285.0,13.0
t8_6s_4minITI,,non opsin,2,0.04,0.19,0.0,0.0,0.19,48604.0,549.0,13.0
t8_6s_4minITI,,non opsin,3,1.09,1.15,0.0,0.0,0.13,73009.0,799.0,13.0
t8_6s_4minITI,,non opsin,4,0.04,0.1,0.0,0.0,0.14,97204.0,1039.0,13.0
t8_6s_4minITI,,non opsin,1,0.14,0.07,0.0,0.0,0.28,24314.0,131.0,14.0
t8_6s_4minITI,,non opsin,2,0.33,0.5,0.0,0.0,0.21,48633.0,323.0,14.0
t8_6s_4minITI,,non opsin,3,0.51,0.4,0.0,0.0,0.21,72951.0,520.0,14.0
t8_6s_4minITI,,non opsin,4,0.07,0.16,0.0,0.0,0.26,97207.0,702.0,14.0
t8_6s_4minITI,,non opsin,1,10.32,10.61,0.0,0.0,0.03,25332.0,201.0,15.0
t8_6s_4minITI,,non opsin,2,0.94,1.27,0.0,0.0,0.18,48694.0,407.0,15.0
t8_6s_4minITI,,non opsin,3,0.02,0.62,0.0,0.0,0.29,72902.0,569.0,15.0
t8_6s_4minITI,,non opsin,4,0.88,0.77,0.0,0.0,0.2,97288.0,744.0,15.0
