BoutStart (s),BoutEnd (s),BoutDuration (s),IBI (s),AverageFrequency (Hz),InstantaneousFrequencies,Threshold,Condition,Filename,Group,FishID,SourcePath
9.8406,10.1532,0.3128,,22.20014465949556,"[15.64945226917058, 22.172949002217294, 19.76284584980237, 24.154589371980677, 24.213075060532685, 27.247956403269754]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
10.5302,10.8698,0.3396,0.3770000000000006,21.583978649420335,"[25.125628140703515, 21.598272138228943, 26.041666666666668, 19.880715705765407, 30.674846625766875, 12.706480304955527, 15.06024096385542]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
11.0156,11.3228,0.3072,0.1457999999999994,26.23243153374848,"[29.15451895043732, 24.752475247524753, 19.960079840319363, 35.97122302158274, 31.446540880503143, 27.932960893854748, 14.40922190201729]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
11.7978,11.8552,0.0574,0.4749999999999996,23.52941176470588,[23.52941176470588],0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
12.2218,12.2416,0.0198,0.3666,21.186440677966104,[21.186440677966104],0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
13.0282,13.1174,0.0892,0.7866,27.149004302216596,"[29.761904761904763, 26.109660574412533, 25.57544757033248]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
13.6278,13.7942,0.1664,0.5104000000000006,25.062656641604008,"[23.809523809523807, 26.315789473684212]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
14.2354,14.3556,0.1202,0.4412000000000002,23.393106311029,"[19.646365422396855, 19.267822736030826, 28.81844380403458, 25.839793281653748]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
17.2222,17.4236,0.2014,2.8666,26.34676890039253,"[31.847133757961785, 32.57328990228013, 14.619883040935672]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
17.716,17.8576,0.1416,0.2924000000000006,25.230033477721424,"[30.3030303030303, 26.455026455026456, 25.188916876574307, 23.04147465437788, 25.77319587628866, 20.618556701030926]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
18.2636,18.2874,0.0238,0.4059999999999988,19.868927756717785,"[21.78649237472767, 21.413276231263385, 12.51564455569462, 11.26126126126126, 24.509803921568626, 20.5761316872428, 22.675736961451246, 24.213075060532685]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
29.9752,29.9946,0.0194,11.6878,23.08983804893427,"[22.075055187637968, 22.62443438914027, 24.57002457002457]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
