Condition,File,Fish_ID,Experiment,Step,Threshold,Num_Spikes,Frequency,ISI,Amplitude,Latency
no_light,1,140524_F1_C1,excitability,1,-20,13,140.5557358,0.007775,76.690674,0.00289
no_light,1,140524_F1_C1,excitability,2,-20,13,136.9141654,0.007555,76.14136,0.00289
no_light,2,140524_F1_C1,excitability,1,-20,13,145.0569069,0.00755,76.72119,0.0029
no_light,2,140524_F1_C1,excitability,2,-20,13,150.0288517,0.00717,76.26343,0.00286
no_light,3,140524_F1_C1,excitability,1,-20,14,155.159038,0.00697,75.24109,0.00271
no_light,3,140524_F1_C1,excitability,2,-20,14,145.8485259,0.00758,76.01929,0.00312
no_light,4,140524_F1_C1,excitability,1,-20,13,140.7688143,0.00805,76.293945,0.00308
no_light,4,140524_F1_C1,excitability,2,-20,12,135.455469,0.00801,76.49231,0.00298
no_light,5,140524_F1_C1,excitability,1,-20,22,101.33579,0.00927,76.21765,0.00307
no_light,5,140524_F1_C1,excitability,2,-20,13,84.56934686,0.00887,76.08032,0.00324
no_light,6,140524_F1_C1,excitability,1,-20,4,89.36550492,0.01471,74.1272,0.00551
no_light,6,140524_F1_C1,excitability,2,-20,4,77.77561734,0.01373,74.18823,0.00608
light,7,140524_F1_C1,excitability,1,-20,13,141.720266,0.008125,76.62964,0.00281
light,7,140524_F1_C1,excitability,2,-20,12,131.5645214,0.00792,76.70593,0.00303
light,8,140524_F1_C1,excitability,1,-20,13,144.9275362,0.007215,75.71411,0.00296
light,8,140524_F1_C1,excitability,2,-20,12,135.6391997,0.00775,76.88904,0.00314
light,9,140524_F1_C1,excitability,1,-20,13,147.3588755,0.007515,76.01929,0.00304
light,9,140524_F1_C1,excitability,2,-20,12,140.5316782,0.00794,76.50757,0.00327
light,10,140524_F1_C1,excitability,1,-20,13,139.6198045,0.008065,76.26343,0.00288
light,10,140524_F1_C1,excitability,2,-20,12,130.3922634,0.00869,76.35498,0.00319
no_light,11,140524_F2_C2,excitability,1,-20,11,138.7837497,0.007925,75.59204,0.00266
no_light,11,140524_F2_C2,excitability,2,-20,10,145.8363716,0.00785,75.63782,0.00275
no_light,12,140524_F2_C2,excitability,1,-20,8,150.2911892,0.00756,76.37024,0.00266
no_light,12,140524_F2_C2,excitability,2,-20,8,143.6265709,0.00913,76.23291,0.00274
no_light,13,140524_F2_C2,excitability,1,-20,7,138.9992057,0.00771,75.805664,0.00246
no_light,13,140524_F2_C2,excitability,2,-20,6,171.8213058,0.00669,75.68359,0.00248
light,14,140524_F2_C2,excitability,1,-20,11,116.6118944,0.00818,75.531006,0.00259
light,14,140524_F2_C2,excitability,2,-20,8,114.416476,0.00855,75.98877,0.00308
light,15,140524_F2_C2,excitability,1,-20,6,148.1115774,0.00825,76.35498,0.00275
light,15,140524_F2_C2,excitability,2,-20,6,125.8653241,0.00776,76.61438,0.00296
light,16,140524_F2_C2,excitability,1,-20,10,132.6787847,0.008,76.58386,0.00221
light,16,140524_F2_C2,excitability,2,-20,8,146.3325407,0.00808,77.22473,0.00242
light,17,140524_F2_C2,excitability,1,-20,8,133.5559265,0.00784,76.40076,0.00236
light,17,140524_F2_C2,excitability,2,-20,6,174.4186047,0.0069,77.301025,0.00272
no_light,18,300524_F1_C1,excitability,1,-20,16,184.3955284,0.0053,62.072754,0.00252
no_light,18,300524_F1_C1,excitability,2,-20,14,166.6865103,0.00546,61.76758,0.00262
no_light,19,300524_F1_C1,excitability,1,-20,17,186.1381802,0.006115,59.295654,0.0024
no_light,19,300524_F1_C1,excitability,2,-20,14,179.028133,0.00526,59.127808,0.0024
no_light,20,300524_F1_C1,excitability,1,-20,13,165.0584053,0.0058,56.70166,0.00264
no_light,20,300524_F1_C1,excitability,2,-20,12,204.0122407,0.00474,56.365967,0.00265
no_light,21,300524_F1_C1,excitability,1,-20,12,181.3510654,0.00527,57.159424,0.00246
no_light,21,300524_F1_C1,excitability,2,-20,12,182.4262694,0.0053,56.106567,0.00244
no_light,22,300524_F1_C1,excitability,1,-20,11,233.943003,0.004685,57.373047,0.00244
no_light,22,300524_F1_C1,excitability,2,-20,12,185.3281853,0.00582,56.915283,0.00255
light,23,300524_F1_C1,excitability,1,-20,15,168.444694,0.005705,61.12671,0.00248
light,23,300524_F1_C1,excitability,2,-20,14,173.1387583,0.00492,58.044434,0.00213
light,24,300524_F1_C1,excitability,1,-20,13,197.0294028,0.00515,58.380127,0.00259
light,24,300524_F1_C1,excitability,2,-20,12,236.5464222,0.00482,50.445557,0.00175
light,25,300524_F1_C1,excitability,1,-20,12,161.1387136,0.00468,59.09729,0.00248
light,25,300524_F1_C1,excitability,2,-20,11,241.5458937,0.003635,53.344727,0.00191
light,26,300524_F1_C1,excitability,1,-20,12,186.0465116,0.00584,57.128906,0.00245
light,26,300524_F1_C1,excitability,2,-20,12,223.6302646,0.00431,56.396484,0.00242
light,27,300524_F1_C1,excitability,1,-20,10,242.8363283,0.00408,57.022095,0.00228
light,27,300524_F1_C1,excitability,2,-20,11,218.6878728,0.004105,56.274414,0.0023
