Time (s),Area Above Baseline (mV·s),Group,Trial_ID
0,-14.0991568,Opsin,140524_F1_C1_t1
0.2,-13.54785858,Opsin,140524_F1_C1_t1
0.4,-13.51989563,Opsin,140524_F1_C1_t1
0.6,-14.02131317,Opsin,140524_F1_C1_t1
0.8,-14.15096954,Opsin,140524_F1_C1_t1
1,-14.0890033,Opsin,140524_F1_C1_t1
1.2,-13.90743713,Opsin,140524_F1_C1_t1
1.4,-13.11649506,Opsin,140524_F1_C1_t1
1.6,-13.51410583,Opsin,140524_F1_C1_t1
1.8,-14.0931604,Opsin,140524_F1_C1_t1
2,-14.14488831,Opsin,140524_F1_C1_t1
2.2,-14.1309256,Opsin,140524_F1_C1_t1
2.4,-14.02931061,Opsin,140524_F1_C1_t1
2.6,-14.00301483,Opsin,140524_F1_C1_t1
2.8,-14.04713318,Opsin,140524_F1_C1_t1
3,-13.57579102,Opsin,140524_F1_C1_t1
3.2,-12.82610352,Opsin,140524_F1_C1_t1
3.4,-13.333685,Opsin,140524_F1_C1_t1
3.6,-13.91306885,Opsin,140524_F1_C1_t1
3.8,-14.06083649,Opsin,140524_F1_C1_t1
4,-14.06316803,Opsin,140524_F1_C1_t1
4.2,-14.06774872,Opsin,140524_F1_C1_t1
4.4,-13.95093201,Opsin,140524_F1_C1_t1
4.6,-13.93527771,Opsin,140524_F1_C1_t1
4.8,-13.0217041,Opsin,140524_F1_C1_t1
5,-13.131633,Opsin,140524_F1_C1_t1
5.2,-13.6911557,Opsin,140524_F1_C1_t1
5.4,-14.04354065,Opsin,140524_F1_C1_t1
5.6,-14.09611542,Opsin,140524_F1_C1_t1
5.8,-14.08315094,Opsin,140524_F1_C1_t1
6,-14.07151794,Opsin,140524_F1_C1_t1
6.2,-13.89763245,Opsin,140524_F1_C1_t1
6.4,-13.85385956,Opsin,140524_F1_C1_t1
6.6,-13.90596344,Opsin,140524_F1_C1_t1
6.8,-13.97684265,Opsin,140524_F1_C1_t1
7,-13.98772247,Opsin,140524_F1_C1_t1
7.2,-13.31436768,Opsin,140524_F1_C1_t1
7.4,-13.66008728,Opsin,140524_F1_C1_t1
7.6,-14.08358887,Opsin,140524_F1_C1_t1
7.8,-14.1098642,Opsin,140524_F1_C1_t1
8,-14.14901764,Opsin,140524_F1_C1_t1
8.2,-14.04289398,Opsin,140524_F1_C1_t1
8.4,-13.99334961,Opsin,140524_F1_C1_t1
8.6,-13.24940552,Opsin,140524_F1_C1_t1
8.8,-13.34470001,Opsin,140524_F1_C1_t1
9,-13.89112122,Opsin,140524_F1_C1_t1
9.2,-14.0878717,Opsin,140524_F1_C1_t1
9.4,-14.13141998,Opsin,140524_F1_C1_t1
9.6,-14.06016632,Opsin,140524_F1_C1_t1
9.8,-14.01466431,Opsin,140524_F1_C1_t1
10,-14.03592224,Opsin,140524_F1_C1_t1
10.2,-14.14856293,Opsin,140524_F1_C1_t1
10.4,-14.06562225,Opsin,140524_F1_C1_t1
10.6,-14.04144592,Opsin,140524_F1_C1_t1
10.8,-14.01565338,Opsin,140524_F1_C1_t1
11,-13.15788849,Opsin,140524_F1_C1_t1
11.2,-13.49686615,Opsin,140524_F1_C1_t1
11.4,-14.03971893,Opsin,140524_F1_C1_t1
11.6,-14.11562134,Opsin,140524_F1_C1_t1
11.8,-14.14040375,Opsin,140524_F1_C1_t1
12,-14.12392578,Opsin,140524_F1_C1_t1
12.2,-13.81016693,Opsin,140524_F1_C1_t1
12.4,-13.1907135,Opsin,140524_F1_C1_t1
12.6,-13.58057739,Opsin,140524_F1_C1_t1
12.8,-14.06575653,Opsin,140524_F1_C1_t1
13,-14.13442383,Opsin,140524_F1_C1_t1
13.2,-14.05110107,Opsin,140524_F1_C1_t1
13.4,-13.34540375,Opsin,140524_F1_C1_t1
13.6,-13.73292023,Opsin,140524_F1_C1_t1
13.8,-14.11268829,Opsin,140524_F1_C1_t1
14,-14.12908539,Opsin,140524_F1_C1_t1
14.2,-14.12202026,Opsin,140524_F1_C1_t1
14.4,-13.39952606,Opsin,140524_F1_C1_t1
14.6,-13.66046173,Opsin,140524_F1_C1_t1
14.8,-14.12259979,Opsin,140524_F1_C1_t1
15,-14.15323151,Opsin,140524_F1_C1_t1
15.2,-14.13438385,Opsin,140524_F1_C1_t1
15.4,-14.15410156,Opsin,140524_F1_C1_t1
15.6,-14.17590332,Opsin,140524_F1_C1_t1
15.8,-13.78156311,Opsin,140524_F1_C1_t1
16,-13.36269714,Opsin,140524_F1_C1_t1
16.2,-13.90925568,Opsin,140524_F1_C1_t1
16.4,-14.139487,Opsin,140524_F1_C1_t1
16.6,-14.1568103,Opsin,140524_F1_C1_t1
16.8,-14.13087555,Opsin,140524_F1_C1_t1
17,-13.97005371,Opsin,140524_F1_C1_t1
17.2,-13.21166656,Opsin,140524_F1_C1_t1
17.4,-13.46451385,Opsin,140524_F1_C1_t1
17.6,-14.04264679,Opsin,140524_F1_C1_t1
17.8,-14.12986267,Opsin,140524_F1_C1_t1
18,-14.12501221,Opsin,140524_F1_C1_t1
18.2,-13.74608704,Opsin,140524_F1_C1_t1
18.4,-13.25752594,Opsin,140524_F1_C1_t1
18.6,-13.77247894,Opsin,140524_F1_C1_t1
18.8,-14.14821106,Opsin,140524_F1_C1_t1
19,-14.18081238,Opsin,140524_F1_C1_t1
19.2,-14.11797394,Opsin,140524_F1_C1_t1
19.4,-14.12351501,Opsin,140524_F1_C1_t1
19.6,-14.11764313,Opsin,140524_F1_C1_t1
19.8,-13.83065002,Opsin,140524_F1_C1_t1
20,-13.35147858,Opsin,140524_F1_C1_t1
20.2,-13.90973541,Opsin,140524_F1_C1_t1
20.4,-14.17790009,Opsin,140524_F1_C1_t1
20.6,-14.18519257,Opsin,140524_F1_C1_t1
20.8,-14.16701324,Opsin,140524_F1_C1_t1
21,-14.16264557,Opsin,140524_F1_C1_t1
21.2,-14.07602142,Opsin,140524_F1_C1_t1
21.4,-13.40454987,Opsin,140524_F1_C1_t1
21.6,-13.64143127,Opsin,140524_F1_C1_t1
21.8,-14.11207947,Opsin,140524_F1_C1_t1
22,-14.19237427,Opsin,140524_F1_C1_t1
22.2,-14.18792786,Opsin,140524_F1_C1_t1
22.4,-14.1280777,Opsin,140524_F1_C1_t1
22.6,-14.06690369,Opsin,140524_F1_C1_t1
22.8,-14.1150354,Opsin,140524_F1_C1_t1
23,-14.02661041,Opsin,140524_F1_C1_t1
23.2,-13.99660889,Opsin,140524_F1_C1_t1
23.4,-13.29367218,Opsin,140524_F1_C1_t1
23.6,-12.58067169,Opsin,140524_F1_C1_t1
23.8,-12.65998077,Opsin,140524_F1_C1_t1
24,-13.78188202,Opsin,140524_F1_C1_t1
24.2,-14.06755707,Opsin,140524_F1_C1_t1
24.4,-14.13633423,Opsin,140524_F1_C1_t1
24.6,-14.16624023,Opsin,140524_F1_C1_t1
24.8,-14.1676236,Opsin,140524_F1_C1_t1
25,-14.1455188,Opsin,140524_F1_C1_t1
25.2,-13.97012817,Opsin,140524_F1_C1_t1
25.4,-13.11691132,Opsin,140524_F1_C1_t1
25.6,-13.53461426,Opsin,140524_F1_C1_t1
25.8,-14.0653363,Opsin,140524_F1_C1_t1
26,-14.16283691,Opsin,140524_F1_C1_t1
26.2,-14.19907684,Opsin,140524_F1_C1_t1
26.4,-14.15919525,Opsin,140524_F1_C1_t1
26.6,-14.17864136,Opsin,140524_F1_C1_t1
26.8,-14.17020355,Opsin,140524_F1_C1_t1
27,-14.14950348,Opsin,140524_F1_C1_t1
27.2,-14.05950684,Opsin,140524_F1_C1_t1
27.4,-13.66437897,Opsin,140524_F1_C1_t1
27.6,-13.32112549,Opsin,140524_F1_C1_t1
27.8,-13.78104523,Opsin,140524_F1_C1_t1
28,-14.15119141,Opsin,140524_F1_C1_t1
28.2,-14.1705249,Opsin,140524_F1_C1_t1
28.4,-14.23596497,Opsin,140524_F1_C1_t1
28.6,-14.19000488,Opsin,140524_F1_C1_t1
28.8,-13.96713959,Opsin,140524_F1_C1_t1
29,-13.59664642,Opsin,140524_F1_C1_t1
29.2,-13.3956131,Opsin,140524_F1_C1_t1
29.4,-13.88882324,Opsin,140524_F1_C1_t1
29.6,-14.1913678,Opsin,140524_F1_C1_t1
29.8,-14.19455505,Opsin,140524_F1_C1_t1
30,-14.20242401,Opsin,140524_F1_C1_t1
