Parameter,Condition,Step,Mean,Median,SEM
Amplitude,light,pre,69.4040156923077,75.71411,2.4928868675351086
Amplitude,light,post,68.31477238461538,76.35498,3.1003691520691374
Amplitude,no_light,pre,69.69015942857143,75.41656499999999,2.338777567955963
Amplitude,no_light,post,69.50160464285713,75.66070500000001,2.3966570353790777
Frequency,light,pre,158.46771658990548,147.35887553842662,9.323124000701277
Frequency,light,post,168.66998614237278,146.33254069873848,12.783449569152642
Frequency,no_light,pre,153.65729405642574,147.67404805972475,9.685988662349233
Frequency,no_light,post,150.66839737474737,147.938688794057,9.597206256190042
ISI,light,pre,0.006818846153846154,0.007515,0.0004183231765978255
ISI,light,post,0.0065676923076923065,0.00775,0.0005243719122596708
ISI,no_light,pre,0.007477857142857141,0.007555,0.0006569381848012198
ISI,no_light,post,0.00736892857142855,0.0073625,0.0006144881231184767
Latency,light,pre,0.0026061538461538457,0.00259,7.299928399313823e-05
Latency,light,post,0.0026400000000000004,0.00272,0.00014325430140765363
Latency,no_light,pre,0.0028857142857142857,0.00266,0.00021073840428181685
Latency,no_light,post,0.002985714285714285,0.002745,0.0002473057330283652
