Trial_ID,Well_ID,Animal_ID,NumBout,BoutStart,BoutEnd,Condition,Genotype,videoDuration,Bout Duration (s),Bout Distance (mm),Bout Speed (mm/s),Angular Velocity (deg/s),Max TBF (Hz),Mean TBF (Hz),medianOfInstantaneousTBF,Mean TBF (Hz) (based on first 4 bends),Mean TBF (Hz) (based on first 6 bends),Max absolute TBA (deg.),maxBendAmplitudeSigned,Mean absolute TBA (deg.),Median absolute TBA (deg.),medianBendAmplitudeSigned,Number of Oscillations,meanTBF,maxTailAngleAmplitude,Absolute Yaw (deg),Signed Yaw (deg),TBA#1 timing (s),TBA#1 Amplitude (deg),firstBendAmplitudeSigned,IBI (s),xmean,ymean,binaryClass25degMaxTailAngle,tailAngleIntegralSigned,BoutFrameNumberStart,tailAngleSymmetry,secondBendAmpDividedByFirst,tailAngleIntegral,maxInstantaneousSpeed
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,46,5884,5952,es,o,59.99,0.69,340.9605963,501.4126416,0.349351976,2.631578947,2.631578947,2.631578947,2.631578947,2.631578947,47.4998733,47.4998733,47.4998733,47.4998733,47.4998733,0.5,0.724637681,47.4998733,0.004121813,-0.004121813,0.19,47.4998733,47.4998733,0.81,541.4275309,42814.03616,1,354.5609032,5884,0.389746709,,740.4695949,24830.99802
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,45,5757,5803,es,o,59.99,0.47,365.9400985,795.5219532,0.605173948,,,,,,,,,,,0.0,0.0,18.08026334,0.339339688,-0.339339688,,,,0.64,541.7158959,42810.6659,0,78.81582067,5757,0.868608794,,331.9803339,12243.41656
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,20,2578,2637,es,o,59.99,0.6,442.4808754,749.9675854,0.524397811,2.777777778,2.124183007,2.124183007,2.124183007,2.124183007,16.52403994,16.52403994,12.09725926,12.09725926,12.09725926,1.0,1.666666667,48.33408787,1.091132794,1.091132794,0.34,16.52403994,16.52403994,0.33,542.0673791,42816.62436,1,336.4102002,2578,0.268214206,0.464201164,654.4293511,14747.08303
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,19,2506,2545,es,o,59.99,0.4,435.5474437,1116.788317,0.792276491,4.166666667,3.273809524,3.273809524,3.273809524,3.273809524,7.2219888,-7.2219888,5.542425333,5.542425333,-5.542425333,1.0,2.5,9.999841144,0.383225232,0.383225232,0.21,7.2219888,-7.2219888,0.65,541.6073131,42803.89495,0,5.535693368,2506,0.870573597,0.534875084,203.4323826,18151.54834
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,18,2378,2441,es,o,59.99,0.64,400.1124962,635.0992004,0.452623757,16.66666667,9.452421171,9.895833333,9.452421171,9.452421171,6.756836329,-6.756836329,5.603756067,5.487437559,-0.037256201,2.0,3.125,10.00261909,1.553067571,1.553067571,0.37,6.217049897,6.217049897,0.48,542.4461539,42811.60003,0,-59.84582636,2378,0.917406412,-0.765286639,311.5339188,7120.260131
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,17,2265,2330,es,o,59.99,0.66,425.2578908,654.242909,0.482937396,16.66666667,6.851851852,2.5,6.851851852,6.851851852,8.454336574,8.454336574,6.675747715,6.386996163,5.185910409,1.5,2.272727273,12.03784381,0.22449328,0.22449328,0.36,8.454336574,8.454336574,0.69,542.5650242,42815.32949,0,-60.77132478,2265,0.705872068,-0.755469824,368.2151752,18092.45894
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,16,2156,2196,es,o,59.99,0.41,280.2733707,700.6834267,0.509249593,,,,,,,,,,,0.0,0.0,11.99847277,0.25702678,0.25702678,,,,0.51,542.3761674,42811.85591,0,-40.63558473,2156,0.805537555,,229.3430882,8803.357079
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,15,2060,2105,es,o,59.99,0.46,96.06498079,213.4777351,0.153229006,,,,,,,,,,,0.0,0.0,12.61857098,0.582824966,0.582824966,,,,1.11,542.7098656,42819.36703,0,-57.2357885,2060,0.647407973,,233.1583786,5475.573531
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,14,1889,1949,es,o,59.99,0.61,387.2095782,645.349297,0.438617991,2.941176471,2.941176471,2.941176471,2.941176471,2.941176471,34.70774674,34.70774674,34.70774674,34.70774674,34.70774674,0.5,0.819672131,34.70774674,0.256675522,0.256675522,0.17,34.70774674,34.70774674,0.75,540.6861619,42808.5022,1,184.9912356,1889,0.415036602,,544.1893029,17798.16139
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,13,1759,1814,es,o,59.99,0.56,337.2693716,613.2170392,0.437711874,2.941176471,2.332657201,2.332657201,2.332657201,2.332657201,7.474525307,7.474525307,7.010679218,7.010679218,7.010679218,1.0,1.785714286,11.83285236,0.190193796,0.190193796,0.29,6.546833128,6.546833128,0.64,542.4710717,42811.64073,0,13.30647988,1759,0.955402742,1.141700905,310.5759821,14791.66361
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,12,1645,1695,es,o,59.99,0.51,366.2064213,732.4128427,0.554945341,8.333333333,6.093189964,8.333333333,6.093189964,6.093189964,9.611620899,9.611620899,7.089443272,6.407561642,6.407561642,1.5,2.941176471,12.4297257,0.301527294,0.301527294,0.31,9.611620899,9.611620899,0.8,541.9722083,42808.14513,0,11.07264112,1645,0.838903767,0.546125084,277.6334266,21356.23459
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,11,1524,1565,es,o,59.99,0.42,330.3622768,805.7616507,0.575496537,,,,,,,,,,,0.0,0.0,12.99671431,0.212230849,0.212230849,,,,0.53,541.4759498,42811.64157,0,-36.92801752,1524,0.917312476,,261.613444,16755.50425
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,10,1397,1471,es,o,59.99,0.75,338.5446326,457.4927467,0.338720901,16.66666667,7.972222222,5.555555556,6.402777778,7.972222222,10.15887285,-10.15887285,7.930920012,7.791125113,-1.556105264,3.0,4.0,10.32251755,0.275645149,0.275645149,0.25,5.538272116,5.538272116,0.65,542.4922631,42814.32764,0,-123.6083795,1397,0.671519089,-1.834303667,378.004035,14647.05681
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,9,1243,1332,es,o,59.99,0.9,439.8549733,494.2190712,0.350921461,16.66666667,8.844627595,8.333333333,8.653846154,8.844627595,9.071395738,-9.071395738,6.947284374,6.93750449,5.379755922,3.0,3.333333333,12.23604148,1.543275122,1.543275122,0.39,7.977789686,7.977789686,0.62,541.2646641,42819.31387,0,-32.83806793,1243,0.87627511,0.615463753,517.4631885,6467.640079
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,8,1146,1181,es,o,59.99,0.36,239.8432314,685.2663755,0.470739883,1.851851852,1.851851852,1.851851852,1.851851852,1.851851852,7.068750656,7.068750656,7.068750656,7.068750656,7.068750656,0.5,1.388888889,11.91553355,0.169759241,-0.169759241,0.27,7.068750656,7.068750656,0.51,540.5611551,42817.89391,0,-23.00117576,1146,0.640807843,,189.0161218,11517.1744
