K value,Median Stability Score,Fish_ID
2,1.0,F2
3,0.953633458861704,F2
4,0.9887758109298048,F2
5,0.970538034692609,F2
6,0.8970243996800251,F2
7,0.7891352914392176,F2
8,0.7425652133578011,F2
9,0.7620764981016519,F2
10,0.7975055235073789,F2
11,0.7798338318833651,F2
12,0.6083156443352743,F2
13,0.6384100254192702,F2
14,0.7033271624343633,F2
15,0.6285726209144238,F2
16,0.6852603538070742,F2
17,0.6587894788819405,F2
18,0.6848153723679443,F2
19,0.6733731694540672,F2
2,0.987453620997664,F3
3,0.97253475377716,F3
4,0.9445734533140318,F3
5,0.9639982380318496,F3
6,0.9634452799942564,F3
7,0.9751300884137026,F3
8,0.9656975165087336,F3
9,0.970917335251881,F3
10,0.6103350050927778,F3
11,0.5600639904791331,F3
12,0.6292816277007719,F3
13,0.7246769760923513,F3
14,0.7897851434783301,F3
15,0.8392608274812958,F3
16,0.8398090046847355,F3
17,0.891561664967375,F3
18,0.7960126435950761,F3
19,0.7698147462398213,F3
2,0.9698491956008634,F4
3,0.9744067452366172,F4
4,0.8940946106902758,F4
5,0.7626428522655039,F4
6,0.9576565845607308,F4
7,0.5863107027353152,F4
8,0.7943406158438762,F4
9,0.8612928371158,F4
10,0.942747953192403,F4
11,0.8827039104924299,F4
12,0.780604548821954,F4
13,0.8539017474683264,F4
14,0.9271366157652812,F4
15,0.9166137413162944,F4
16,0.9238691860704418,F4
17,0.8374333013148286,F4
18,0.8307035613588644,F4
19,0.802475610789376,F4
2,0.973979557317547,F5
3,0.9420266081485946,F5
4,0.9402862084499556,F5
5,0.8688147787064937,F5
6,0.8664714812713474,F5
7,0.7931445265628045,F5
8,0.8641928145171391,F5
9,0.7988517127598805,F5
10,0.7658393784521496,F5
11,0.8356149610030195,F5
12,0.7936833091826774,F5
13,0.9072520400741144,F5
14,0.8867870614368656,F5
15,0.8664607025595141,F5
16,0.8551611586680676,F5
17,0.8195508327124876,F5
18,0.7951494324963482,F5
19,0.8182684396933176,F5
2,1.0,F6
3,0.9973893820163952,F6
4,1.0,F6
5,0.9356077498154176,F6
6,0.8637402271818864,F6
7,0.8907098357103028,F6
8,0.9101886107593756,F6
9,0.7186177772862603,F6
10,0.7682900885600095,F6
11,0.8516260957501138,F6
12,0.8277926522741808,F6
13,0.8096800450253451,F6
14,0.7393722221860568,F6
15,0.7498790071593342,F6
16,0.7686342771795014,F6
17,0.61034459858368,F6
18,0.8149978185982572,F6
19,0.7663882210874811,F6
2,0.9469910046757885,F7
3,0.9544348609192388,F7
4,0.9447459871316808,F7
5,0.8834854085032796,F7
6,0.9083257034201302,F7
7,0.8838216175962785,F7
8,0.8283231779447127,F7
9,0.8557948275120397,F7
10,0.6424550347948033,F7
11,0.7937731214393904,F7
12,0.9153623115304927,F7
13,0.9653081227337572,F7
14,0.9782666509513898,F7
15,0.9343121188352552,F7
16,0.8733735618849892,F7
17,0.8421770521045029,F7
18,0.7663862607336485,F7
19,0.7465853852201807,F7
2,1.0,F8
3,0.963338472359319,F8
4,0.8493073235467767,F8
