file,time_bin,percent_time_swimming,condition
F10_t1_2026_01_18-19_46_20.h5,0.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,1.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,2.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,3.5,25,opsin
F10_t1_2026_01_18-19_46_20.h5,4.5,65,opsin
F10_t1_2026_01_18-19_46_20.h5,5.5,2,opsin
F10_t1_2026_01_18-19_46_20.h5,6.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,7.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,8.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,9.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,10.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,11.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,12.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,13.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,14.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,15.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,16.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,17.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,18.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,19.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,20.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,21.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,22.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,23.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,24.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,25.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,26.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,27.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,28.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,29.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,30.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,31.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,32.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,33.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,34.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,35.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,36.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,37.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,38.5,78,opsin
F10_t1_2026_01_18-19_46_20.h5,39.5,4,opsin
F10_t1_2026_01_18-19_46_20.h5,40.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,41.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,42.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,43.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,44.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,45.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,46.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,47.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,48.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,49.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,50.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,51.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,52.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,53.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,54.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,55.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,56.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,57.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,58.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,59.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,60.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,61.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,62.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,63.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,64.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,65.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,66.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,67.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,68.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,69.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,70.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,71.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,72.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,73.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,74.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,75.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,76.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,77.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,78.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,79.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,80.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,81.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,82.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,83.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,84.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,85.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,86.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,87.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,88.5,0,opsin
F10_t1_2026_01_18-19_46_20.h5,89.5,0,opsin
