file,time_bin,percent_time_swimming,condition
C3_t1_2025_11_10-19_22_50.h5,0.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,1.5,7.999999999999985,control
C3_t1_2025_11_10-19_22_50.h5,2.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,3.5,16.999999999999993,control
C3_t1_2025_11_10-19_22_50.h5,4.5,53.00000000000003,control
C3_t1_2025_11_10-19_22_50.h5,5.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,6.5,20.000000000000018,control
C3_t1_2025_11_10-19_22_50.h5,7.5,100.0,control
C3_t1_2025_11_10-19_22_50.h5,8.5,100.0,control
C3_t1_2025_11_10-19_22_50.h5,9.5,35.99999999999994,control
C3_t1_2025_11_10-19_22_50.h5,10.5,4.999999999999893,control
C3_t1_2025_11_10-19_22_50.h5,11.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,12.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,13.5,73.00000000000004,control
C3_t1_2025_11_10-19_22_50.h5,14.5,89.00000000000006,control
C3_t1_2025_11_10-19_22_50.h5,15.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,16.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,17.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,18.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,19.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,20.5,92.99999999999996,control
C3_t1_2025_11_10-19_22_50.h5,21.5,80.99999999999987,control
C3_t1_2025_11_10-19_22_50.h5,22.5,0.999999999999801,control
C3_t1_2025_11_10-19_22_50.h5,23.5,1.9999999999999571,control
C3_t1_2025_11_10-19_22_50.h5,24.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,25.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,26.5,58.99999999999999,control
C3_t1_2025_11_10-19_22_50.h5,27.5,100.0,control
C3_t1_2025_11_10-19_22_50.h5,28.5,60.00000000000014,control
C3_t1_2025_11_10-19_22_50.h5,29.5,39.99999999999986,control
C3_t1_2025_11_10-19_22_50.h5,30.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,31.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,32.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,33.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,34.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,35.5,69.99999999999957,control
C3_t1_2025_11_10-19_22_50.h5,36.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,37.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,38.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,39.5,2.0000000000003126,control
C3_t1_2025_11_10-19_22_50.h5,40.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,41.5,12.999999999999543,control
C3_t1_2025_11_10-19_22_50.h5,42.5,60.99999999999994,control
C3_t1_2025_11_10-19_22_50.h5,43.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,44.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,45.5,43.99999999999977,control
C3_t1_2025_11_10-19_22_50.h5,46.5,49.0000000000002,control
C3_t1_2025_11_10-19_22_50.h5,47.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,48.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,49.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,50.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,51.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,52.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,53.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,54.5,11.999999999999744,control
C3_t1_2025_11_10-19_22_50.h5,55.5,75.0,control
C3_t1_2025_11_10-19_22_50.h5,56.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,57.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,58.5,3.9999999999999143,control
C3_t1_2025_11_10-19_22_50.h5,59.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,60.5,71.00000000000009,control
C3_t1_2025_11_10-19_22_50.h5,61.5,7.000000000000028,control
C3_t1_2025_11_10-19_22_50.h5,62.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,63.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,64.5,68.99999999999977,control
C3_t1_2025_11_10-19_22_50.h5,65.5,10.999999999999943,control
C3_t1_2025_11_10-19_22_50.h5,66.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,67.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,68.5,15.000000000000568,control
C3_t1_2025_11_10-19_22_50.h5,69.5,70.00000000000028,control
C3_t1_2025_11_10-19_22_50.h5,70.5,1.999999999999602,control
C3_t1_2025_11_10-19_22_50.h5,71.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,72.5,0.0,control
C3_t1_2025_11_10-19_22_50.h5,73.5,37.000000000000455,control
C3_t1_2025_11_10-19_22_50.h5,74.5,21.999999999999886,control
C3_t1_2025_11_10-19_22_50.h5,75.5,0.0,control
